condition,correct_given_protocol,cot,instances,invalid_rate,max_new_tokens,mean_generated_tokens,median_generated_tokens,model,protocol_compliance,semantic_accuracy,strict_accuracy,truncation_rate
qwen2.5-0.5b_no_cot_128,0.455435847208619,False,1150,0.11217391304347826,128,30.304347826086957,22.0,qwen2.5-0.5b,0.8878260869565218,0.45652173913043476,0.4043478260869565,0.043478260869565216
qwen2.5-0.5b_no_cot_256,0.45666991236611487,False,1150,0.10695652173913044,256,32.856521739130436,22.0,qwen2.5-0.5b,0.8930434782608696,0.4591304347826087,0.4078260869565217,0.00782608695652174
qwen2.5-0.5b_no_cot_512,0.45675413022351796,False,1150,0.10521739130434783,512,33.48695652173913,22.0,qwen2.5-0.5b,0.8947826086956522,0.4591304347826087,0.40869565217391307,0.0008695652173913044
qwen2.5-0.5b_cot_128,,True,1150,1,128,11.416521739130435,10.0,qwen2.5-0.5b,0,0.40695652173913044,0,0.0017391304347826088
qwen2.5-0.5b_cot_256,,True,1150,1,256,11.639130434782608,10.0,qwen2.5-0.5b,0,0.40695652173913044,0,0.0017391304347826088
qwen2.5-0.5b_cot_512,,True,1150,1,512,12.084347826086956,10.0,qwen2.5-0.5b,0,0.4078260869565217,0,0.0017391304347826088
qwen2.5-3b_no_cot_128,0.9134078212290503,False,1150,0.688695652173913,128,12.901739130434782,10.0,qwen2.5-3b,0.31130434782608696,0.9026086956521739,0.2843478260869565,0
qwen2.5-3b_no_cot_256,0.9134078212290503,False,1150,0.688695652173913,256,12.901739130434782,10.0,qwen2.5-3b,0.31130434782608696,0.9026086956521739,0.2843478260869565,0
qwen2.5-3b_no_cot_512,0.9134078212290503,False,1150,0.688695652173913,512,12.901739130434782,10.0,qwen2.5-3b,0.31130434782608696,0.9026086956521739,0.2843478260869565,0
qwen2.5-7b_no_cot_128,0.8397435897435898,False,1150,0.8643478260869565,128,10.36,10.0,qwen2.5-7b,0.1356521739130435,0.8565217391304348,0.11391304347826087,0
qwen2.5-7b_no_cot_256,0.8397435897435898,False,1150,0.8643478260869565,256,10.36,10.0,qwen2.5-7b,0.1356521739130435,0.8565217391304348,0.11391304347826087,0
qwen2.5-7b_no_cot_512,0.8397435897435898,False,1150,0.8643478260869565,512,10.36,10.0,qwen2.5-7b,0.1356521739130435,0.8565217391304348,0.11391304347826087,0
qwen2.5-7b_cot_128,0.09683098591549295,True,1150,0.01217391304347826,128,47.32260869565217,40.0,qwen2.5-7b,0.9878260869565217,0.09652173913043478,0.09565217391304348,0.01565217391304348
qwen2.5-7b_cot_256,0.10139860139860139,True,1150,0.0052173913043478265,256,48.444347826086954,40.0,qwen2.5-7b,0.9947826086956522,0.10086956521739131,0.10086956521739131,0.0052173913043478265
qwen2.5-7b_cot_512,0.10347826086956521,True,1150,0,512,49.19304347826087,40.0,qwen2.5-7b,1,0.10347826086956521,0.10347826086956521,0
